task_id,episode_idx,instruction,video_file,steps,subgoal_1,subgoal_1_status,subgoal_2,subgoal_2_status,failure_type,failure_stage,manual_note
libero_10_3,13,put the black bowl in the bottom drawer of the cabinet and close it,libero_10_3_ep13_fail.mp4,520,put black bowl in bottom drawer,completed,close drawer/cabinet,failed,close-action timeout,after bowl placement; drawer remains open,"Manual video review suggests the bowl is placed into the bottom drawer, but the policy times out while attempting or failing to close the drawer."
libero_10_6,11,put the white mug on the plate and put the chocolate pudding to the right of the plate,libero_10_6_ep11_fail.mp4,520,put white mug on plate,completed,put chocolate pudding to the right of the plate,failed,second-subgoal spatial-placement timeout,after mug-on-plate placement; pudding remains unplaced or not correctly placed to the right,"Manual video review suggests the mug-on-plate subgoal is completed, but the policy times out while attempting the chocolate-pudding placement relative to the plate."
libero_10_6,35,put the white mug on the plate and put the chocolate pudding to the right of the plate,libero_10_6_ep35_fail.mp4,520,put white mug on plate,completed,put chocolate pudding to the right of the plate,failed,second-subgoal spatial-placement timeout,after mug-on-plate placement; pudding remains unplaced or not correctly placed to the right,"Manual video review suggests the mug-on-plate subgoal is completed, but the policy times out while attempting the chocolate-pudding placement relative to the plate."
libero_10_8,1,put both moka pots on the stove,libero_10_8_ep1_fail.mp4,520,place first moka pot on stove,completed,place second moka pot on stove,failed,second-subgoal timeout,after first placement; second moka pot remains on table,Manual video review suggests one moka pot is placed on the stove. The policy then times out before placing the second moka pot.
libero_10_8,5,put both moka pots on the stove,libero_10_8_ep5_fail.mp4,520,place first moka pot on stove,completed,place second moka pot on stove,failed,second-subgoal timeout,after first placement; second moka pot is contacted or moved near stove but not accepted,"Manual video review suggests one moka pot is placed on the stove. The second moka pot is contacted or moved toward the stove, but the final successful placement is not reached before timeout."
libero_10_8,9,put both moka pots on the stove,libero_10_8_ep9_fail.mp4,520,place first moka pot on stove,completed,place second moka pot on stove,failed,second-subgoal timeout,after first placement; second moka pot remains on table,Manual video review suggests one moka pot is placed on the stove. The policy then times out before placing the second moka pot.
libero_10_8,12,put both moka pots on the stove,libero_10_8_ep12_fail.mp4,520,place first moka pot on stove,completed,place second moka pot on stove,failed,second-subgoal timeout,after first placement; second moka pot remains on table,Manual video review suggests one moka pot is placed on the stove. The policy then times out before placing the second moka pot.
libero_10_8,15,put both moka pots on the stove,libero_10_8_ep15_fail.mp4,520,place first moka pot on stove,completed,place second moka pot on stove,failed,second-subgoal timeout,after first placement; second moka pot is contacted or moved near stove but not accepted,"Manual video review suggests one moka pot is placed on the stove. The second moka pot is contacted or moved toward the stove, but the final successful placement is not reached before timeout."
libero_10_8,24,put both moka pots on the stove,libero_10_8_ep24_fail.mp4,520,place first moka pot on stove,completed,place second moka pot on stove,failed,second-subgoal timeout,after first placement; second moka pot remains on table,Manual video review suggests one moka pot is placed on the stove. The policy then times out before placing the second moka pot.
libero_10_8,25,put both moka pots on the stove,libero_10_8_ep25_fail.mp4,520,place first moka pot on stove,completed,place second moka pot on stove,failed,second-subgoal timeout,after first placement; second moka pot is contacted or moved near stove but not accepted,"Manual video review suggests one moka pot is placed on the stove. The second moka pot is contacted or moved toward the stove, but the final successful placement is not reached before timeout."
libero_10_8,40,put both moka pots on the stove,libero_10_8_ep40_fail.mp4,520,place first moka pot on stove,completed,place second moka pot on stove,failed,second-subgoal timeout,after first placement; second moka pot remains on table,Manual video review suggests one moka pot is placed on the stove. The policy then times out before placing the second moka pot.
libero_10_8,42,put both moka pots on the stove,libero_10_8_ep42_fail.mp4,520,place first moka pot on stove,completed,place second moka pot on stove,failed,second-subgoal timeout,after first placement; second moka pot is contacted or moved near stove but not accepted,"Manual video review suggests one moka pot is placed on the stove. The second moka pot is contacted or moved toward the stove, but the final successful placement is not reached before timeout."
libero_10_9,11,put the yellow and white mug in the microwave and close it,libero_10_9_ep11_fail.mp4,520,put yellow and white mug in microwave,partial,close microwave,failed,microwave-close timeout,mug reaches microwave doorway but final insertion/closure is not completed,Manual video review suggests the mug is moved toward the microwave and gets stuck near the opening/doorway; the microwave is not closed before timeout.
libero_10_9,14,put the yellow and white mug in the microwave and close it,libero_10_9_ep14_fail.mp4,520,put yellow and white mug in microwave,completed_or_nearly_completed,close microwave,failed,microwave-close timeout,"mug appears near/inside microwave, but door remains open","Manual video review suggests the mug is moved into or very near the microwave, but the policy does not complete the close-microwave subgoal."
libero_10_9,25,put the yellow and white mug in the microwave and close it,libero_10_9_ep25_fail.mp4,520,put yellow and white mug in microwave,partial,close microwave,failed,microwave-close timeout,mug reaches microwave doorway but final insertion/closure is not completed,Manual video review suggests the mug is moved toward the microwave and gets stuck near the opening/doorway; the microwave is not closed before timeout.
libero_10_9,44,put the yellow and white mug in the microwave and close it,libero_10_9_ep44_fail.mp4,520,put yellow and white mug in microwave,partial,close microwave,failed,microwave-close timeout,"mug is moved toward microwave opening, but final state is not accepted and door remains open",Manual video review suggests the mug is manipulated around the microwave opening but the final insertion/close sequence is not successfully completed.
