task_id,episode_idx,instruction,steps,failure_frame_path,failure_video_path_expected
libero_10_3,13,put the black bowl in the bottom drawer of the cabinet and close it,520,outputs\mounika_task3_v2_chunk_10_19\libero_10\frames\failures\libero_10_3_ep13_fail.jpg,outputs\mounika_task3_v2_chunk_10_19\libero_10\videos\failures\libero_10_3_ep13_fail.mp4
libero_10_6,11,put the white mug on the plate and put the chocolate pudding to the right of the plate,520,outputs\mounika_task6_v2_chunk_10_19\libero_10\frames\failures\libero_10_6_ep11_fail.jpg,outputs\mounika_task6_v2_chunk_10_19\libero_10\videos\failures\libero_10_6_ep11_fail.mp4
libero_10_6,35,put the white mug on the plate and put the chocolate pudding to the right of the plate,520,outputs\mounika_task6_v2_chunk_30_39\libero_10\frames\failures\libero_10_6_ep35_fail.jpg,outputs\mounika_task6_v2_chunk_30_39\libero_10\videos\failures\libero_10_6_ep35_fail.mp4
libero_10_8,1,put both moka pots on the stove,520,outputs\mounika_task8_v2_chunk_00_09\libero_10\frames\failures\libero_10_8_ep1_fail.jpg,outputs\mounika_task8_v2_chunk_00_09\libero_10\videos\failures\libero_10_8_ep1_fail.mp4
libero_10_8,5,put both moka pots on the stove,520,outputs\mounika_task8_v2_chunk_00_09\libero_10\frames\failures\libero_10_8_ep5_fail.jpg,outputs\mounika_task8_v2_chunk_00_09\libero_10\videos\failures\libero_10_8_ep5_fail.mp4
libero_10_8,9,put both moka pots on the stove,520,outputs\mounika_task8_v2_chunk_00_09\libero_10\frames\failures\libero_10_8_ep9_fail.jpg,outputs\mounika_task8_v2_chunk_00_09\libero_10\videos\failures\libero_10_8_ep9_fail.mp4
libero_10_8,12,put both moka pots on the stove,520,outputs\mounika_task8_v2_chunk_10_19\libero_10\frames\failures\libero_10_8_ep12_fail.jpg,outputs\mounika_task8_v2_chunk_10_19\libero_10\videos\failures\libero_10_8_ep12_fail.mp4
libero_10_8,15,put both moka pots on the stove,520,outputs\mounika_task8_v2_chunk_10_19\libero_10\frames\failures\libero_10_8_ep15_fail.jpg,outputs\mounika_task8_v2_chunk_10_19\libero_10\videos\failures\libero_10_8_ep15_fail.mp4
libero_10_8,24,put both moka pots on the stove,520,outputs\mounika_task8_v2_chunk_20_29\libero_10\frames\failures\libero_10_8_ep24_fail.jpg,outputs\mounika_task8_v2_chunk_20_29\libero_10\videos\failures\libero_10_8_ep24_fail.mp4
libero_10_8,25,put both moka pots on the stove,520,outputs\mounika_task8_v2_chunk_20_29\libero_10\frames\failures\libero_10_8_ep25_fail.jpg,outputs\mounika_task8_v2_chunk_20_29\libero_10\videos\failures\libero_10_8_ep25_fail.mp4
libero_10_8,40,put both moka pots on the stove,520,outputs\mounika_task8_v2_chunk_40_49\libero_10\frames\failures\libero_10_8_ep40_fail.jpg,outputs\mounika_task8_v2_chunk_40_49\libero_10\videos\failures\libero_10_8_ep40_fail.mp4
libero_10_8,42,put both moka pots on the stove,520,outputs\mounika_task8_v2_chunk_40_49\libero_10\frames\failures\libero_10_8_ep42_fail.jpg,outputs\mounika_task8_v2_chunk_40_49\libero_10\videos\failures\libero_10_8_ep42_fail.mp4
libero_10_9,11,put the yellow and white mug in the microwave and close it,520,outputs\mounika_task9_v2_chunk_10_19\libero_10\frames\failures\libero_10_9_ep11_fail.jpg,outputs\mounika_task9_v2_chunk_10_19\libero_10\videos\failures\libero_10_9_ep11_fail.mp4
libero_10_9,14,put the yellow and white mug in the microwave and close it,520,outputs\mounika_task9_v2_chunk_10_19\libero_10\frames\failures\libero_10_9_ep14_fail.jpg,outputs\mounika_task9_v2_chunk_10_19\libero_10\videos\failures\libero_10_9_ep14_fail.mp4
libero_10_9,25,put the yellow and white mug in the microwave and close it,520,outputs\mounika_task9_v2_chunk_20_29\libero_10\frames\failures\libero_10_9_ep25_fail.jpg,outputs\mounika_task9_v2_chunk_20_29\libero_10\videos\failures\libero_10_9_ep25_fail.mp4
libero_10_9,44,put the yellow and white mug in the microwave and close it,520,outputs\mounika_task9_v2_chunk_40_49\libero_10\frames\failures\libero_10_9_ep44_fail.jpg,outputs\mounika_task9_v2_chunk_40_49\libero_10\videos\failures\libero_10_9_ep44_fail.mp4
