task_id,suite,instruction,bddl_file,total_objects,target_objects,n_distractors,distractor_density,n_objects_sim,initial_distance
libero_goal_0,libero_goal,Open the middle layer of the drawer,/home/priya/my_robotics_project/lib/python3.12/site-packages/libero/libero/./bddl_files/libero_goal/open_the_middle_drawer_of_the_cabinet.bddl,4,1,4,1.0,4,-1.0
libero_goal_1,libero_goal,Put the bowl on the stove,/home/priya/my_robotics_project/lib/python3.12/site-packages/libero/libero/./bddl_files/libero_goal/put_the_bowl_on_the_stove.bddl,4,2,3,0.75,4,0.2896
libero_goal_2,libero_goal,Put the wine bottle on the top of the drawer,/home/priya/my_robotics_project/lib/python3.12/site-packages/libero/libero/./bddl_files/libero_goal/put_the_wine_bottle_on_top_of_the_cabinet.bddl,4,2,3,0.75,4,0.2645
libero_goal_3,libero_goal,Open the top layer of the drawer and put the bowl inside,/home/priya/my_robotics_project/lib/python3.12/site-packages/libero/libero/./bddl_files/libero_goal/open_the_top_drawer_and_put_the_bowl_inside.bddl,4,2,3,0.75,4,0.3038
libero_goal_4,libero_goal,Put the bowl on the top of the drawer,/home/priya/my_robotics_project/lib/python3.12/site-packages/libero/libero/./bddl_files/libero_goal/put_the_bowl_on_top_of_the_cabinet.bddl,4,2,3,0.75,4,0.2928
libero_goal_5,libero_goal,Push the plate to the front of the stove,/home/priya/my_robotics_project/lib/python3.12/site-packages/libero/libero/./bddl_files/libero_goal/push_the_plate_to_the_front_of_the_stove.bddl,4,2,3,0.75,4,0.3781
libero_goal_6,libero_goal,Put the cream cheese on the bowl,/home/priya/my_robotics_project/lib/python3.12/site-packages/libero/libero/./bddl_files/libero_goal/put_the_cream_cheese_in_the_bowl.bddl,4,2,2,0.5,4,0.3534
libero_goal_7,libero_goal,Turn on the stove,/home/priya/my_robotics_project/lib/python3.12/site-packages/libero/libero/./bddl_files/libero_goal/turn_on_the_stove.bddl,4,1,4,1.0,4,-1.0
libero_goal_8,libero_goal,Put the bowl on the plate,/home/priya/my_robotics_project/lib/python3.12/site-packages/libero/libero/./bddl_files/libero_goal/put_the_bowl_on_the_plate.bddl,4,2,2,0.5,4,0.301
libero_goal_9,libero_goal,Put the wine bottle on the rack,/home/priya/my_robotics_project/lib/python3.12/site-packages/libero/libero/./bddl_files/libero_goal/put_the_wine_bottle_on_the_rack.bddl,4,2,3,0.75,4,0.2751
